,Name,State abbreviation
168,Rensselaer Hartford Graduate Center Inc,Connecticut
169,University of Hartford,Connecticut
170,Mitchell College,Connecticut
171,University of New Haven,Connecticut
172,Quinnipiac University,Connecticut
173,Sacred Heart University,Connecticut
174,University of Saint Joseph,Connecticut
175,Southern Connecticut State University,Connecticut
176,Trinity College,Connecticut
177,Wesleyan University,Connecticut
178,Western Connecticut State University,Connecticut
179,Yale University,Connecticut
180,Delaware State University,Delaware
181,University of Delaware,Delaware
182,Wesley College,Delaware
183,Wilmington University,Delaware
184,American University,District of Columbia
185,Catholic University of America,District of Columbia
186,University of the District of Columbia,District of Columbia
187,Gallaudet University,District of Columbia
188,George Washington University,District of Columbia
189,Georgetown University,District of Columbia
190,Howard University,District of Columbia
191,Trinity Washington University,District of Columbia
192,Barry University,Florida
193,Bethune-Cookman University,Florida
194,Lynn University,Florida
195,Carlos Albizu University-Miami,Florida
196,University of Central Florida,Florida
197,Clearwater Christian College,Florida
198,Eckerd College,Florida
199,Edward Waters College,Florida
200,Embry-Riddle Aeronautical University-Daytona Beach,Florida
201,Florida Agricultural and Mechanical University,Florida
202,Florida Atlantic University,Florida
203,Flagler College-St Augustine,Florida
204,Florida College,Florida
205,Florida Institute of Technology,Florida
206,Florida International University,Florida
207,Florida Memorial University,Florida
208,Florida Southern College,Florida
209,Florida State University,Florida
210,University of Florida,Florida
211,Jacksonville University,Florida
212,Jones College-Jacksonville,Florida
213,Keiser University-Ft Lauderdale,Florida
214,Trinity International University-Florida,Florida
215,University of Miami,Florida
216,Remington College-Tampa Campus,Florida
217,University of North Florida,Florida
218,Nova Southeastern University,Florida
219,Palm Beach Atlantic University,Florida
220,Rollins College,Florida
221,Saint Leo University,Florida
222,St Petersburg College,Florida
223,University of South Florida-Main Campus,Florida
224,St Thomas University,Florida
225,Stetson University,Florida
226,Southeastern University,Florida
227,The University of Tampa,Florida
228,Warner University,Florida
229,Webber International University,Florida
230,The University of West Florida,Florida
231,Agnes Scott College,Georgia
232,Albany State University,Georgia
233,Armstrong Atlantic State University,Georgia
234,Point University,Georgia
235,Clark Atlanta University,Georgia
236,Berry College,Georgia
237,Brenau University,Georgia
238,Brewton-Parker College,Georgia
239,Clayton  State University,Georgia
240,Columbus State University,Georgia
241,Covenant College,Georgia
242,Dalton State College,Georgia
243,Emmanuel College,Georgia
244,Emory University,Georgia
245,Fort Valley State University,Georgia
246,Georgia Institute of Technology-Main Campus,Georgia
247,Georgia Southwestern State University,Georgia
248,Georgia College and State University,Georgia
249,Georgia Southern University,Georgia
250,Georgia State University,Georgia
251,University of Georgia,Georgia
252,Kennesaw State University,Georgia
253,LaGrange College,Georgia
254,Life University,Georgia
255,Mercer University,Georgia
256,Morehouse College,Georgia
257,University of North Georgia,Georgia
258,Oglethorpe University,Georgia
259,Paine College,Georgia
260,Piedmont College,Georgia
261,Reinhardt University,Georgia
262,Savannah State University,Georgia
263,Shorter University,Georgia
264,Spelman College,Georgia
265,Southern Polytechnic State University,Georgia
266,Thomas University,Georgia
267,Toccoa Falls College,Georgia
268,Truett-McConnell College,Georgia
269,Valdosta State University,Georgia
270,Wesleyan College,Georgia
271,University of West Georgia,Georgia
272,Chaminade University of Honolulu,Hawaii
273,University of Hawaii at Hilo,Hawaii
274,University of Hawaii at Manoa,Hawaii
275,Hawaii Pacific University,Hawaii
276,University of Hawaii-West Oahu,Hawaii
277,Boise State University,Idaho
278,Idaho State University,Idaho
279,University of Idaho,Idaho
280,The College of Idaho,Idaho
281,Lewis-Clark State College,Idaho
282,Northwest Nazarene University,Idaho
283,Brigham Young University-Idaho,Idaho
284,Augustana College,Illinois
285,Aurora University,Illinois
286,Blackburn College,Illinois
287,Bradley University,Illinois
288,Chicago State University,Illinois
289,University of Chicago,Illinois
290,Columbia College-Chicago,Illinois
291,Concordia University-Chicago,Illinois
292,DePaul University,Illinois
293,East-West University,Illinois
294,Eastern Illinois University,Illinois
295,Elmhurst College,Illinois
296,Eureka College,Illinois
297,Governors State University,Illinois
298,Greenville College,Illinois
299,University of Illinois at Chicago,Illinois
300,Benedictine University,Illinois
301,University of Illinois at Urbana-Champaign,Illinois
302,Illinois Wesleyan University,Illinois
303,Illinois College,Illinois
304,Illinois Institute of Technology,Illinois
305,Illinois State University,Illinois
306,Judson University,Illinois
307,Knox College,Illinois
308,Lake Forest College,Illinois
309,Lewis University,Illinois
310,Lincoln College,Illinois
311,Loyola University Chicago,Illinois
312,MacMurray College,Illinois
313,McKendree University,Illinois
314,Millikin University,Illinois
315,Monmouth College,Illinois
316,National Louis University,Illinois
317,North Central College,Illinois
318,North Park University,Illinois
319,Northern Illinois University,Illinois
320,Northwestern University,Illinois
321,Northeastern Illinois University,Illinois
322,Olivet Nazarene University,Illinois
323,Quincy University,Illinois
324,Robert Morris University Illinois,Illinois
325,Rockford University,Illinois
326,Roosevelt University,Illinois
327,Dominican University,Illinois
328,University of St Francis,Illinois
329,Saint Xavier University,Illinois
330,University of Illinois at Springfield,Illinois
331,Shimer College,Illinois
332,Southern Illinois University-Carbondale,Illinois
333,Southern Illinois University-Edwardsville,Illinois
334,Trinity Christian College,Illinois
335,Trinity International University-Illinois,Illinois
336,Western Illinois University,Illinois
337,Wheaton College,Illinois
338,Anderson University,Indiana
339,Ball State University,Indiana
340,Bethel College-Indiana,Indiana
341,Butler University,Indiana
342,Calumet College of Saint Joseph,Indiana
343,DePauw University,Indiana
344,Earlham College,Indiana
345,University of Evansville,Indiana
346,Franklin College,Indiana
347,Goshen College,Indiana
348,Grace College and Theological Seminary,Indiana
349,Hanover College,Indiana
350,Holy Cross College,Indiana
351,Huntington University,Indiana
352,Indiana University-Purdue University-Fort Wayne,Indiana
353,Indiana University-Purdue University-Indianapolis,Indiana
354,University of Indianapolis,Indiana
355,University of Southern Indiana,Indiana
356,Indiana State University,Indiana
357,Indiana University-Kokomo,Indiana
358,Indiana University-South Bend,Indiana
359,Indiana University-Bloomington,Indiana
360,Indiana University-Northwest,Indiana
361,Indiana University-Southeast,Indiana
362,Indiana University-East,Indiana
363,Manchester University,Indiana
364,Marian University,Indiana
365,Indiana Wesleyan University,Indiana
366,Martin University,Indiana
367,University of Notre Dame,Indiana
368,Oakland City University,Indiana
369,Purdue University-Calumet Campus,Indiana
370,Purdue University-North Central Campus,Indiana
371,University of Saint Francis-Fort Wayne,Indiana
372,Saint Josephs College,Indiana
373,Saint Mary-of-the-Woods College,Indiana
374,Saint Mary's College,Indiana
375,Taylor University,Indiana
376,Trine University,Indiana
377,Valparaiso University,Indiana
378,Wabash College,Indiana
379,Briar Cliff University,Iowa
380,Buena Vista University,Iowa
381,Central College,Iowa
382,Clarke University,Iowa
383,Coe College,Iowa
384,Cornell College,Iowa
385,Dordt College,Iowa
386,Drake University,Iowa
387,University of Dubuque,Iowa
388,Graceland University-Lamoni,Iowa
389,Grand View University,Iowa
390,Grinnell College,Iowa
391,Iowa State University,Iowa
392,Iowa Wesleyan College,Iowa
393,University of Iowa,Iowa
394,Loras College,Iowa
395,Luther College,Iowa
396,Maharishi University of Management,Iowa
397,Morningside College,Iowa
398,Mount Mercy University,Iowa
399,University of Northern Iowa,Iowa
400,Northwestern College,Iowa
401,Saint Ambrose University,Iowa
402,Simpson College,Iowa
403,Upper Iowa University,Iowa
404,Wartburg College,Iowa
405,William Penn University,Iowa
406,Baker University,Kansas
407,Benedictine College,Kansas
408,Bethany College,Kansas
409,Bethel College-North Newton,Kansas
410,Central Christian College of Kansas,Kansas
411,Donnelly College,Kansas
412,Emporia State University,Kansas
413,Fort Hays State University,Kansas
414,Friends University,Kansas
415,University of Kansas,Kansas
416,Newman University,Kansas
417,Kansas State University,Kansas
418,Kansas Wesleyan University,Kansas
419,McPherson College,Kansas
420,MidAmerica Nazarene University,Kansas
421,Ottawa University-Ottawa,Kansas
422,Ottawa University-Kansas City,Kansas
423,Pittsburg State University,Kansas
424,University of Saint Mary,Kansas
425,Southwestern College,Kansas
426,Sterling College,Kansas
427,Tabor College,Kansas
428,Washburn University,Kansas
429,Wichita State University,Kansas
430,Alice Lloyd College,Kentucky
431,Asbury University,Kentucky
432,Bellarmine University,Kentucky
433,Berea College,Kentucky
434,Brescia University,Kentucky
435,Campbellsville University,Kentucky
436,Centre College,Kentucky
437,University of the Cumberlands,Kentucky
438,Eastern Kentucky University,Kentucky
439,Georgetown College,Kentucky
440,Kentucky State University,Kentucky
441,Kentucky Wesleyan College,Kentucky
442,University of Kentucky,Kentucky
443,Kentucky Christian University,Kentucky
444,Lindsey Wilson College,Kentucky
445,University of Louisville,Kentucky
446,Mid-Continent University,Kentucky
447,Midway College,Kentucky
448,Morehead State University,Kentucky
449,Murray State University,Kentucky
450,Northern Kentucky University,Kentucky
451,University of Pikeville,Kentucky
452,Saint Catharine College,Kentucky
453,Spalding University,Kentucky
454,Thomas More College,Kentucky
455,Transylvania University,Kentucky
456,Union College,Kentucky
457,Western Kentucky University,Kentucky
458,Centenary College of Louisiana,Louisiana
459,Dillard University,Louisiana
460,Grambling State University,Louisiana
461,Louisiana State University-Alexandria,Louisiana
462,Louisiana State University and Agricultural & Mechanical College,Louisiana
463,Louisiana State University-Shreveport,Louisiana
464,Louisiana College,Louisiana
465,Louisiana Tech University,Louisiana
466,Loyola University New Orleans,Louisiana
467,McNeese State University,Louisiana
468,University of New Orleans,Louisiana
469,Nicholls State University,Louisiana
470,University of Louisiana at Monroe,Louisiana
471,Northwestern State University of Louisiana,Louisiana
472,Our Lady of Holy Cross College,Louisiana
473,Southeastern Louisiana University,Louisiana
474,Southern University and A & M College,Louisiana
475,Southern University at New Orleans,Louisiana
476,University of Louisiana at Lafayette,Louisiana
477,Tulane University of Louisiana,Louisiana
478,Xavier University of Louisiana,Louisiana
479,College of the Atlantic,Maine
480,Bates College,Maine
481,Bowdoin College,Maine
482,Colby College,Maine
483,Husson University,Maine
484,University of Maine at Augusta,Maine
485,University of Maine at Farmington,Maine
486,University of Maine at Fort Kent,Maine
487,University of Maine at Machias,Maine
488,University of Maine,Maine
489,Maine Maritime Academy,Maine
490,University of Maine at Presque Isle,Maine
491,University of New England,Maine
492,Saint Joseph's College of Maine,Maine
493,University of Southern Maine,Maine
494,Thomas College,Maine
495,Unity College,Maine
496,University of Baltimore,Maryland
497,Bowie State University,Maryland
498,Washington Adventist University,Maryland
499,Coppin State University,Maryland
500,Frostburg State University,Maryland
501,Goucher College,Maryland
502,Hood College,Maryland
503,Johns Hopkins University,Maryland
504,Loyola University Maryland,Maryland
505,University of Maryland-University College,Maryland
506,University of Maryland-Baltimore County,Maryland
507,University of Maryland-College Park,Maryland
508,University of Maryland Eastern Shore,Maryland
509,Morgan State University,Maryland
510,Mount St Mary's University,Maryland
511,Notre Dame of Maryland University,Maryland
512,Salisbury University,Maryland
513,St Mary's College of Maryland,Maryland
514,Sojourner-Douglass College,Maryland
515,St John's College,Maryland
516,Towson University,Maryland
517,Maryland University of Integrative Health,Maryland
518,Stevenson University,Maryland
519,Washington College,Maryland
520,McDaniel College,Maryland
521,American International College,Massachusetts
522,Amherst College,Massachusetts
523,Anna Maria College,Massachusetts
524,Assumption College,Massachusetts
525,Bay Path College,Massachusetts
526,Becker College,Massachusetts
527,Bentley University,Massachusetts
528,Boston College,Massachusetts
529,Boston University,Massachusetts
530,Brandeis University,Massachusetts
531,Bridgewater State University,Massachusetts
532,Cambridge College,Massachusetts
533,Clark University,Massachusetts
534,Curry College,Massachusetts
535,Eastern Nazarene College,Massachusetts
536,Emerson College,Massachusetts
537,Emmanuel College,Massachusetts
538,Endicott College,Massachusetts
539,Fisher College,Massachusetts
540,Fitchburg State University,Massachusetts
541,Framingham State University,Massachusetts
542,Gordon College,Massachusetts
543,Hampshire College,Massachusetts
544,Harvard University,Massachusetts
545,College of the Holy Cross,Massachusetts
546,Lasell College,Massachusetts
547,Lesley University,Massachusetts
548,University of Massachusetts-Lowell,Massachusetts
549,University of Massachusetts-Amherst,Massachusetts
550,University of Massachusetts-Boston,Massachusetts
551,Massachusetts Institute of Technology,Massachusetts
552,Massachusetts Maritime Academy,Massachusetts
553,Merrimack College,Massachusetts
554,Mount Holyoke College,Massachusetts
555,Mount Ida College,Massachusetts
556,Newbury College,Massachusetts
557,Nichols College,Massachusetts
558,Massachusetts College of Liberal Arts,Massachusetts
559,Northeastern University,Massachusetts
560,College of Our Lady of the Elms,Massachusetts
561,Pine Manor College,Massachusetts
562,Salem State University,Massachusetts
563,Simmons College,Massachusetts
564,Bard College at Simon's Rock,Massachusetts
565,Smith College,Massachusetts
566,Springfield College,Massachusetts
567,University of Massachusetts-Dartmouth,Massachusetts
568,Stonehill College,Massachusetts
569,Suffolk University,Massachusetts
570,Tufts University,Massachusetts
571,Wellesley College,Massachusetts
572,Wentworth Institute of Technology,Massachusetts
573,Western New England University,Massachusetts
574,Westfield State University,Massachusetts
575,Wheaton College,Massachusetts
576,Wheelock College,Massachusetts
577,Williams College,Massachusetts
578,Worcester Polytechnic Institute,Massachusetts
579,Worcester State University,Massachusetts
580,Adrian College,Michigan
581,Albion College,Michigan
582,Alma College,Michigan
583,Andrews University,Michigan
584,Aquinas College,Michigan
585,Baker College of Owosso,Michigan
586,Baker College of Flint,Michigan
587,Calvin College,Michigan
588,Central Michigan University,Michigan
589,Concordia University-Ann Arbor,Michigan
590,Davenport University,Michigan
591,University of Detroit Mercy,Michigan
592,Eastern Michigan University,Michigan
593,Ferris State University,Michigan
594,Kettering University,Michigan
595,Grace Bible College,Michigan
596,Cornerstone University,Michigan
597,Grand Valley State University,Michigan
598,Hope College,Michigan
599,Kalamazoo College,Michigan
600,Lake Superior State University,Michigan
601,Lawrence Technological University,Michigan
602,Madonna University,Michigan
603,Marygrove College,Michigan
604,Rochester College,Michigan
605,University of Michigan-Ann Arbor,Michigan
606,Michigan State University,Michigan
607,Michigan Technological University,Michigan
608,University of Michigan-Dearborn,Michigan
609,University of Michigan-Flint,Michigan
610,Baker College of Muskegon,Michigan
611,Northern Michigan University,Michigan
612,Oakland University,Michigan
613,Olivet College,Michigan
614,Kuyper College,Michigan
615,Saginaw Valley State University,Michigan
616,Siena Heights University,Michigan
617,Spring Arbor University,Michigan
618,Finlandia University,Michigan
619,Wayne State University,Michigan
620,Western Michigan University,Michigan
621,Augsburg College,Minnesota
622,Bemidji State University,Minnesota
623,Bethany Lutheran College,Minnesota
624,Bethel University,Minnesota
625,Carleton College,Minnesota
626,Concordia College at Moorhead,Minnesota
627,Concordia University-Saint Paul,Minnesota
628,Martin Luther College,Minnesota
629,Gustavus Adolphus College,Minnesota
630,Hamline University,Minnesota
631,Macalester College,Minnesota
632,Minnesota State University-Mankato,Minnesota
633,Metropolitan State University,Minnesota
634,University of Minnesota-Twin Cities,Minnesota
635,University of Minnesota-Crookston,Minnesota
636,University of Minnesota-Duluth,Minnesota
637,University of Minnesota-Morris,Minnesota
638,Minnesota State University-Moorhead,Minnesota
639,North Central University,Minnesota
640,University of Northwestern-St Paul,Minnesota
641,College of Saint Benedict,Minnesota
642,Saint Cloud State University,Minnesota
643,Saint Johns University,Minnesota
644,Saint Mary's University of Minnesota,Minnesota
645,St Olaf College,Minnesota
646,Crown College,Minnesota
647,The College of Saint Scholastica,Minnesota
648,University of St Thomas,Minnesota
649,St Catherine University,Minnesota
650,Southwest Minnesota State University,Minnesota
651,Winona State University,Minnesota
652,Alcorn State University,Mississippi
653,Belhaven University,Mississippi
654,Blue Mountain College,Mississippi
655,Delta State University,Mississippi
656,Jackson State University,Mississippi
657,Millsaps College,Mississippi
658,University of Mississippi,Mississippi
659,Mississippi University for Women,Mississippi
660,Mississippi Valley State University,Mississippi
661,Mississippi College,Mississippi
662,Mississippi State University,Mississippi
663,Rust College,Mississippi
664,University of Southern Mississippi,Mississippi
665,Tougaloo College,Mississippi
666,William Carey University,Mississippi
667,Avila University,Missouri
668,Central Methodist University-College of Liberal Arts and Sciences,Missouri
669,University of Central Missouri,Missouri
670,Columbia College,Missouri
671,Culver-Stockton College,Missouri
672,Drury University,Missouri
673,Evangel University,Missouri
674,Fontbonne University,Missouri
675,Hannibal-LaGrange University,Missouri
676,Harris-Stowe State University,Missouri
677,Lincoln University,Missouri
678,Lindenwood University,Missouri
679,Maryville University of Saint Louis,Missouri
680,Missouri Baptist University,Missouri
681,Missouri Southern State University,Missouri
682,Missouri Valley College,Missouri
683,Missouri Western State University,Missouri
684,University of Missouri-Columbia,Missouri
685,University of Missouri-Kansas City,Missouri
686,Missouri University of Science and Technology,Missouri
687,University of Missouri-St Louis,Missouri
688,Truman State University,Missouri
689,Northwest Missouri State University,Missouri
690,College of the Ozarks,Missouri
691,Park University,Missouri
692,Rockhurst University,Missouri
693,Saint Louis University,Missouri
694,Southwest Baptist University,Missouri
695,Stephens College,Missouri
696,Southeast Missouri State University,Missouri
697,Missouri State University-Springfield,Missouri
698,Washington University in St Louis,Missouri
699,Webster University,Missouri
700,Westminster College,Missouri
701,William Jewell College,Missouri
702,William Woods University,Missouri
703,Carroll College,Montana
704,Montana State University-Billings,Montana
705,University of Great Falls,Montana
706,Montana Tech of the University of Montana,Montana
707,Montana State University,Montana
708,The University of Montana,Montana
709,Montana State University-Northern,Montana
710,Rocky Mountain College,Montana
711,The University of Montana-Western,Montana
712,Bellevue University,Nebraska
713,Chadron State College,Nebraska
714,Concordia University-Nebraska,Nebraska
715,Creighton University,Nebraska
716,Doane College-Crete,Nebraska
717,Grace University,Nebraska
718,Hastings College,Nebraska
719,University of Nebraska at Kearney,Nebraska
720,Midland University,Nebraska
721,University of Nebraska at Omaha,Nebraska
722,Nebraska Wesleyan University,Nebraska
723,University of Nebraska-Lincoln,Nebraska
724,Peru State College,Nebraska
725,College of Saint Mary,Nebraska
726,Union College,Nebraska
727,Wayne State College,Nebraska
728,York College,Nebraska
729,University of Nevada-Las Vegas,Nevada
730,University of Nevada-Reno,Nevada
731,Great Basin College,Nevada
732,Sierra Nevada College,Nevada
733,Colby-Sawyer College,New Hampshire
734,Dartmouth College,New Hampshire
735,Franklin Pierce University,New Hampshire
736,New England College,New Hampshire
737,Southern New Hampshire University,New Hampshire
738,University of New Hampshire-Main Campus,New Hampshire
739,Keene State College,New Hampshire
740,University of New Hampshire at Manchester,New Hampshire
741,Plymouth State University,New Hampshire
742,Rivier University,New Hampshire
743,Saint Anselm College,New Hampshire
744,Granite State College,New Hampshire
745,Thomas More College of Liberal Arts,New Hampshire
746,Bloomfield College,New Jersey
747,Caldwell College,New Jersey
748,Centenary College,New Jersey
749,Drew University,New Jersey
750,Fairleigh Dickinson University-Metropolitan Campus,New Jersey
751,Felician College,New Jersey
752,Fairleigh Dickinson University-College at Florham,New Jersey
753,Georgian Court University,New Jersey
754,Rowan University,New Jersey
755,New Jersey City University,New Jersey
756,Kean University,New Jersey
757,Monmouth University,New Jersey
758,Montclair State University,New Jersey
759,New Jersey Institute of Technology,New Jersey
760,Princeton University,New Jersey
761,Ramapo College of New Jersey,New Jersey
762,Rider University,New Jersey
763,Rutgers University-Camden,New Jersey
764,Rutgers University-New Brunswick,New Jersey
765,Rutgers University-Newark,New Jersey
766,Saint Peter's University,New Jersey
767,Seton Hall University,New Jersey
768,College of Saint Elizabeth,New Jersey
769,Stevens Institute of Technology,New Jersey
770,The Richard Stockton College of New Jersey,New Jersey
771,Thomas Edison State College,New Jersey
772,The College of New Jersey,New Jersey
773,William Paterson University of New Jersey,New Jersey
774,Eastern New Mexico University-Main Campus,New Mexico
775,New Mexico Highlands University,New Mexico
776,New Mexico Institute of Mining and Technology,New Mexico
777,University of New Mexico-Main Campus,New Mexico
778,New Mexico State University-Main Campus,New Mexico
779,Northern New Mexico College,New Mexico
780,University of the Southwest,New Mexico
781,Western New Mexico University,New Mexico
782,Vaughn College of Aeronautics and Technology,New York
783,Adelphi University,New York
784,Alfred University,New York
785,Bard College,New York
786,Barnard College,New York
787,Boricua College,New York
788,Canisius College,New York
789,Cazenovia College,New York
790,Clarkson University,New York
791,Colgate University,New York
792,Metropolitan College of New York,New York
793,Columbia University in the City of New York,New York
794,Concordia College-New York,New York
795,Cooper Union for the Advancement of Science and Art,New York
796,Cornell University,New York
797,CUNY Bernard M Baruch College,New York
798,CUNY Brooklyn College,New York
799,College of Staten Island CUNY,New York
800,CUNY City College,New York
801,CUNY Graduate School and University Center,New York
802,CUNY Hunter College,New York
803,CUNY John Jay College of Criminal Justice,New York
804,CUNY Lehman College,New York
805,CUNY Medgar Evers College,New York
806,CUNY New York City College of Technology,New York
807,CUNY Queens College,New York
808,CUNY York College,New York
809,D'Youville College,New York
810,Daemen College,New York
811,Dominican College of Blauvelt,New York
812,Dowling College,New York
813,Elmira College,New York
814,Fashion Institute of Technology,New York
815,Fordham University,New York
816,Hamilton College,New York
817,Hartwick College,New York
818,Hilbert College,New York
819,Hobart William Smith Colleges,New York
820,Hofstra University,New York
821,Houghton College,New York
822,Iona College,New York
823,Ithaca College,New York
824,Keuka College,New York
825,Le Moyne College,New York
826,LIU Brooklyn,New York
827,LIU Post,New York
828,LIU Brentwood,New York
829,Manhattan College,New York
830,Manhattanville College,New York
831,Marist College,New York
832,Marymount Manhattan College,New York
833,Medaille College,New York
834,Mercy College,New York
835,Molloy College,New York
836,Mount Saint Mary College,New York
837,College of Mount Saint Vincent,New York
838,Nazareth College,New York
839,The College of New Rochelle,New York
840,The New School,New York
841,New York University,New York
842,Niagara University,New York
843,New York Institute of Technology,New York
844,Nyack College,New York
845,Pace University-New York,New York
846,Paul Smiths College of Arts and Science,New York
847,Polytechnic Institute of New York University,New York
848,Rensselaer Polytechnic Institute,New York
849,Roberts Wesleyan College,New York
850,Rochester Institute of Technology,New York
851,University of Rochester,New York
852,The Sage Colleges,New York
853,St Bonaventure University,New York
854,St Francis College,New York
855,St Lawrence University,New York
856,The College of Saint Rose,New York
857,St Thomas Aquinas College,New York
858,Sarah Lawrence College,New York
859,Siena College,New York
860,Skidmore College,New York
861,Saint Joseph's College-New York,New York
862,Saint John Fisher College,New York
863,St John's University-New York,New York
864,SUNY College of Technology at Alfred,New York
865,SUNY College of Technology at Canton,New York
866,SUNY College of Technology at Delhi,New York
867,SUNY College of Agriculture and Technology at Cobleskill,New York
868,Farmingdale State College,New York
869,Morrisville State College,New York
870,SUNY at Albany,New York
871,SUNY at Binghamton,New York
872,University at Buffalo,New York
873,Stony Brook University,New York
874,SUNY College of Environmental Science and Forestry,New York
875,SUNY Institute of Technology at Utica-Rome,New York
876,SUNY College at Brockport,New York
877,Buffalo State SUNY,New York
878,SUNY College at Cortland,New York
879,SUNY at Fredonia,New York
880,SUNY College at Geneseo,New York
881,State University of New York at New Paltz,New York
882,SUNY Oneonta,New York
883,SUNY College at Oswego,New York
884,SUNY College at Potsdam,New York
885,SUNY at Purchase College,New York
886,SUNY College at Old Westbury,New York
